不,ふ - ぶ,,not,寝不足(ねぶそく) － sleep deprived
赤,せき - しゃく,あか - あか－い,red,(  ) -
走,そう,はし－る,run,(  ) -
起,き,お－きる - お－こす,wake up,(  ) -
転,てん,ころ－ぶ,revolve,(  ) -
軽,けい,かる－い,light,(  ) -
近,きん - こん,ちか－い,near,(  ) -
送,そう,おく－る,send,"回送(かいそう) － out of service (bus, train, etc.)"
進,しん,すす－む - すす－める,advance,(  ) -
運,うん,はこ－ぶ,carry,(  ) -
遠,えん - おん,とお－い,far,(  ) -
都,と - つ,みやこ - すべ－て,metropolis,(  ) -
重,じゅう - ちょう,おも－い - かさ－ねる - かさ－なる,heavy,(  ) -
野,や,の,field,(  ) -
銀,ぎん,しろがね,silver,銀行(ぎんこう) － bank
門,もん,かど,gates,(  ) -
開,かい,ひら－く - あ－く,open,(  ) -
院,いん,,institution,(  ) -
集,しゅう,あつ－まる,collect,(  ) -
青,せい - しょう,あお,blue,(  ) -
音,おん,ね - おと,sound,音節(おんせつ) － syllable
頭,とう - ず,あたま,head,(  ) -
題,だい,,topic,(  ) -
顔,がん,かお,face,(  ) -
風,ふう - ふ,かぜ - かざ,wind,台風(たいふう) － typhoon
飯,はん,めし - いい,meal,(  ) -
館,かん,やかた - たち - たて,public building,(  ) -
首,しゅ,くび,neck,(  ) -
験,けん - げん,しるし,test,(  ) -
鳥,ちょう,とり,bird,七面鳥(しちめんちょう) － turkey
黒,こく,くろ,black,黒板(こくばん) － blackboard
図,,,,
回,,,,
姉,,,,
姑,,,,
悪,,,,
恶,,,,
正,,,,
步,,,,
薬,,,,
藥,,,,
説,,,,
說,,,,
通,,,,
黑,,,,
